feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
10.0,-4.090418966219098,-1.350356549948763,0.0,-2.690794883971947,5.5960569836134795,-2.0,47.19353288627652
10.0,-4.3989881061067,-0.28903734143103565,2.0,-2.024962791151267,4.834082838594578,-2.0,44.288008979330804
11.0,-4.961240259551887,-1.5848398419999226,2.0,-1.9855865023644428,5.777226245720831,-3.0,56.1622737427539
12.0,-5.420508905508623,-0.6159230592780806,6.0,-1.6218957233252755,6.8276358276896305,-4.0,63.71680991235148
10.0,-4.5461548461511665,-3.7872293339075713,4.0,-3.093486690624661,4.719015950331997,-2.0,60.999762398840694
10.0,-4.744234499475863,0.42658741474587714,1.0,-1.5259461809221355,4.719035651660984,-3.0,43.45433704325093
12.0,-4.418124406981974,0.0024109507244484737,4.0,-4.163513305282221,6.89505537860887,-2.0,66.2230206333245
11.0,-4.587138328906719,-1.6341772621363813,1.0,-2.503907641891048,5.92092167498349,-2.0,57.43046271080038
10.0,-4.317790735042433,1.3184913368648101,5.0,-2.390619073961236,4.436630736878057,-2.0,46.46963451768284
11.0,-5.347902887514369,1.8751402752531168,2.0,-1.4933385391430092,5.6510720523031575,-3.0,56.16648967614554
10.0,-4.143693857337689,-3.2151197287379483,3.0,-1.9818953178585046,4.443898768625045,-2.0,57.23016332450192
10.0,-4.87156025694994,-1.5254495571324285,5.0,-3.1244504430850295,4.441124295715692,-3.0,45.649479332819865
10.0,-3.6510804327935773,-1.5382846995745965,1.0,-2.787994500653612,5.290354725879241,-1.0,48.85256539589423
8.0,-5.447972081758219,-1.8798062022177293,1.0,-1.8410559923620744,2.7040637064106425,-4.0,27.240621676157506
8.0,-3.871623527942588,1.658949683863497,2.0,-2.0632538734916452,2.9300986009843606,-1.0,30.719450350047723
9.0,-4.871357990749279,-0.38765227754560705,5.0,-2.463299287708597,4.325254964910833,-3.0,33.53317616727045
9.0,-5.423421702349391,-0.5290296826212215,1.0,-2.3846670316095837,3.7846026555986914,-4.0,31.961154441642144
10.0,-5.314525792135309,-4.007724728813507,-1.0,-1.4430656022725687,5.377096799114328,-3.0,60.81668605038029
9.0,-5.208225750326308,1.2708360604184528,2.0,-2.414154058295372,3.9103711093745472,-3.0,34.2549433072672
9.0,-4.724292134838754,-2.478516789706945,4.0,-2.0704729952232586,3.3052355583976505,-3.0,41.105358534574506
